date,SP01,SP02,SP03,SP04,SP05,WS01,WS02,WS03
2020.09.15 03:29,13.87,10.94,0.57,1.76,6.36,5.47,1.16,0.26
2020.09.15 03:30,17.89,4.30,12.31,12.90,15.39,14.81,31.92,18.58
2020.09.15 03:31,9.38,12.11,34.61,34.81,11.33,23.09,15.04,15.53
2020.09.15 03:32,7.47,4.88,13.46,7.50,11.35,9.58,9.77,16.82
2020.09.15 03:33,5.28,10.36,6.45,8.21,7.43,8.47,10.36,10.16
2020.09.15 03:34,22.31,9.38,10.42,13.85,10.96,6.84,12.89,12.52
2020.09.15 03:35,3.91,14.04,13.41,6.65,9.38,12.11,14.07,8.38
2020.09.15 03:36,11.33,3.83,14.03,17.32,14.04,15.24,3.32,11.71
2020.09.15 03:37,15.04,10.19,3.71,14.26,12.50,15.77,10.19,24.62
2020.09.15 03:38,8.60,11.35,12.50,13.27,14.42,13.28,10.17,13.09
2020.09.15 03:42,22.27,12.12,2.74,11.73,6.25,10.39,13.87,29.50
2020.09.15 03:43,13.87,11.33,1.76,10.19,11.33,8.99,3.66,5.10
2020.09.15 03:44,8.99,18.27,5.38,4.20,13.48,7.43,13.09,13.48
2020.09.15 03:45,9.61,4.42,10.62,13.46,22.12,17.39,10.45,5.37
2020.09.15 03:46,10.96,5.86,22.12,23.27,24.23,5.47,4.69,40.82
2020.09.15 03:47,11.72,1.17,9.77,11.14,12.50,16.99,2.94,8.02
2020.09.15 03:48,12.30,1.95,2.77,8.65,13.28,12.88,11.15,11.74
2020.09.15 03:49,14.26,2.31,9.18,14.03,17.88,14.46,24.04,3.84
2020.09.15 03:50,3.13,2.12,1.16,14.79,12.12,27.31,2.94,13.05
2020.09.15 03:51,12.31,9.23,19.34,25.79,19.73,13.09,20.00,6.92
2020.09.15 03:52,18.27,1.96,10.39,13.07,13.09,16.41,28.52,13.10
2020.09.15 03:53,10.76,2.35,8.60,14.46,12.49,15.20,3.26,13.48
2020.09.15 03:54,9.23,1.73,12.11,13.09,13.66,13.87,4.30,13.68
2020.09.15 03:55,7.04,1.56,12.11,7.43,13.09,16.21,2.74,15.76
2020.09.15 03:56,4.11,5.77,22.85,17.78,23.84,8.85,4.01,9.19
2020.09.15 03:57,9.99,1.76,21.62,4.22,13.26,4.81,6.06,14.46
2020.09.15 03:58,3.52,2.31,9.42,7.62,11.33,15.24,5.47,12.31
2020.09.15 03:59,2.35,0.59,3.13,4.30,9.04,5.86,10.75,42.19
2020.09.15 04:00,1.93,2.55,2.84,4.10,5.77,15.24,4.61,16.21
2020.09.15 04:01,3.71,5.00,28.67,15.39,16.22,9.62,11.72,14.04
2020.09.15 04:02,1.96,3.32,3.72,6.06,4.69,14.62,13.85,13.45
2020.09.15 04:03,3.13,1.96,2.89,6.15,17.00,16.22,12.30,8.60
2020.09.15 04:04,2.54,8.60,3.13,13.28,3.91,15.24,14.61,12.31
2020.09.15 04:05,0.39,1.76,2.15,11.15,3.13,17.69,9.04,2.55
2020.09.15 04:06,3.47,4.69,10.76,18.47,16.02,14.62,12.11,27.27
2020.09.15 04:07,6.64,2.35,2.89,5.87,5.67,16.21,11.13,15.72
2020.09.15 04:08,2.74,2.74,1.37,5.47,2.31,15.01,4.62,11.14
2020.09.15 04:09,0.96,2.15,2.35,3.46,5.67,15.76,17.79,6.49
2020.09.15 04:10,3.46,3.52,2.88,4.89,4.57,15.43,2.15,12.89
2020.09.15 04:11,2.94,6.63,11.15,16.60,14.23,12.31,1.37,20.92
2020.09.15 04:12,15.63,1.54,2.93,7.03,2.11,12.31,2.69,10.36
2020.09.15 04:13,3.85,1.95,3.52,5.79,3.46,15.63,3.46,11.76
2020.09.15 04:13,1.93,1.95,3.52,5.79,3.46,15.63,3.46,11.76
2020.09.15 04:14,3.13,1.56,2.93,11.73,3.65,12.50,14.24,13.10
2020.09.15 04:14,3.52,1.56,2.93,11.73,3.65,12.50,14.24,13.10
2020.09.15 04:15,4.69,4.69,7.23,5.08,3.85,13.67,5.29,11.92
2020.09.15 04:15,10.57,4.69,7.23,5.08,3.85,13.67,5.29,11.92
2020.09.15 04:16,5.28,5.38,22.10,23.65,12.89,14.00,12.50,17.39
2020.09.15 04:17,6.45,13.68,2.17,11.53,12.88,32.83,9.81,13.75
2020.09.15 04:18,2.89,2.93,3.32,11.92,2.74,13.47,4.69,11.33
2020.09.15 04:19,20.32,2.74,6.16,7.71,5.47,16.54,24.03,12.70
2020.09.15 04:20,3.13,2.74,2.15,10.94,2.54,14.07,3.92,16.03
2020.09.15 04:21,4.74,3.26,9.41,24.61,17.19,13.08,10.35,12.70
2020.09.15 04:22,3.13,8.60,2.12,14.06,16.21,6.64,3.13,13.28
2020.09.15 04:23,3.52,8.08,5.67,7.62,5.77,14.61,12.11,12.50
2020.09.15 04:24,4.69,3.08,1.73,11.54,4.43,10.16,28.65,12.97
2020.09.15 04:25,1.37,4.81,2.35,12.70,7.45,16.60,3.08,14.40
2020.09.15 04:26,3.71,9.18,8.60,23.25,25.77,7.82,12.12,25.94
2020.09.15 04:27,3.32,14.26,2.35,12.11,4.49,13.28,2.12,12.54
2020.09.15 04:28,3.32,3.08,1.96,10.55,4.30,12.49,13.16,11.72
2020.09.15 04:29,17.78,4.69,8.61,10.94,11.15,13.67,12.89,12.31
2020.09.15 04:30,3.53,11.15,6.64,11.16,3.65,12.31,32.03,12.49
2020.09.15 04:31,4.99,11.35,14.05,23.05,14.61,14.26,13.09,13.47
2020.09.15 04:32,2.54,5.08,2.74,12.11,9.23,15.82,19.61,12.31
2020.09.15 04:33,1.93,22.85,2.54,8.79,1.56,13.68,12.69,1.57
2020.09.15 04:34,4.49,6.45,0.78,13.29,16.02,15.63,14.26,12.50
2020.09.15 04:35,9.18,7.03,2.50,11.53,2.69,14.81,1.74,10.96
2020.09.15 04:36,3.52,11.13,11.33,22.31,14.65,13.48,14.08,14.66
2020.09.15 04:37,13.28,16.60,2.31,7.62,8.46,14.65,19.61,15.04
2020.09.15 04:38,7.23,8.46,2.35,8.27,1.57,14.46,11.15,11.54
2020.09.15 04:39,29.50,6.54,1.37,9.42,12.89,14.27,9.99,12.32
2020.09.15 04:40,7.42,3.32,1.37,10.39,4.11,16.80,1.17,6.69
2020.09.15 04:41,2.74,5.96,11.14,22.89,15.04,14.85,16.16,14.07
2020.09.15 04:42,7.66,4.23,2.93,10.16,4.49,14.85,13.48,16.21
2020.09.15 04:43,2.55,4.30,4.81,7.88,6.16,15.43,4.23,6.15
2020.09.15 04:44,4.70,5.28,0.98,9.79,21.16,14.62,12.31,14.59
2020.09.15 04:45,3.72,4.30,1.72,11.53,1.56,13.87,10.94,11.51
2020.09.15 04:46,6.25,5.96,22.85,23.34,18.76,14.85,11.74,13.09
2020.09.15 04:47,19.99,6.45,3.26,12.70,6.26,11.92,13.08,12.11
2020.09.15 04:48,6.84,8.21,1.76,12.89,6.16,15.63,25.96,11.93
2020.09.15 04:49,23.63,8.20,3.17,12.31,16.92,7.23,11.34,13.31
2020.09.15 04:50,11.73,11.15,1.18,16.60,10.96,17.69,10.95,14.99
2020.09.15 04:51,5.76,12.70,10.94,25.78,22.86,11.92,6.54,12.39
2020.09.15 04:52,9.18,8.08,2.35,13.46,9.77,25.98,3.27,12.69
2020.09.15 04:53,26.18,10.55,5.19,12.31,5.38,11.73,12.89,13.08
2020.09.15 04:54,8.08,8.65,2.88,12.36,5.67,23.64,13.93,24.11
2020.09.15 04:55,5.86,9.77,3.46,12.11,9.62,38.10,2.74,13.90
2020.09.15 04:56,20.12,12.31,9.24,24.42,25.00,13.87,3.71,6.06
2020.09.15 04:57,8.22,17.97,5.00,12.89,28.84,10.75,1.96,4.05
2020.09.15 04:58,6.15,4.89,1.17,13.09,9.39,11.91,8.60,12.73
2020.09.15 04:59,20.32,10.42,2.12,12.50,12.89,12.12,13.07,12.99
2020.09.15 05:00,3.65,5.77,1.17,10.19,8.02,9.18,14.81,14.80
2020.09.15 05:01,18.08,11.15,14.02,24.22,20.31,11.14,31.84,13.69
2020.09.15 05:02,6.45,8.99,2.15,11.93,9.18,14.43,13.68,10.96
2020.09.15 05:03,5.08,10.35,4.81,11.33,21.68,14.07,12.70,15.00
2020.09.15 05:04,6.54,9.18,7.81,11.34,9.81,1.54,11.35,13.47
2020.09.15 05:05,4.10,3.27,2.12,12.73,8.61,1.57,1.96,19.96
2020.09.15 05:06,11.16,7.23,7.23,22.87,20.32,1.71,12.51,25.81
2020.09.15 05:07,1.37,14.81,3.52,11.91,9.18,6.92,12.89,8.08
2020.09.15 05:08,22.11,8.79,6.15,12.12,11.52,2.54,13.08,15.01
2020.09.15 05:09,21.10,7.03,15.58,12.50,9.19,3.08,13.10,16.60
2020.09.15 05:10,14.26,30.08,14.65,8.84,10.77,1.37,14.23,29.23
2020.09.15 05:11,15.58,14.84,24.03,31.06,20.40,16.99,5.76,9.98
2020.09.15 05:12,9.23,27.54,13.27,11.92,11.33,3.91,21.49,6.13
2020.09.15 05:13,9.19,11.93,36.33,14.26,8.40,6.25,13.28,12.32
2020.09.15 05:14,7.62,6.25,2.35,9.77,8.27,3.71,14.03,5.97
2020.09.15 05:15,19.62,6.64,3.27,13.28,8.66,7.89,16.10,10.40
2020.09.15 05:16,9.42,12.11,16.02,24.43,21.49,1.18,20.38,40.37
2020.09.15 05:17,8.60,8.99,12.69,12.11,9.42,6.07,3.33,12.70
2020.09.15 05:18,8.85,10.55,9.23,12.31,9.66,2.35,13.08,10.75
2020.09.15 05:19,23.05,8.85,11.92,14.65,12.31,19.73,13.87,12.51
2020.09.15 05:20,7.12,8.08,9.42,11.53,9.96,4.50,6.35,13.09
2020.09.15 05:21,7.42,9.62,26.73,24.42,22.85,3.71,8.99,22.69
2020.09.15 05:22,7.42,13.87,8.40,13.09,27.35,6.16,13.25,13.29
2020.09.15 05:23,10.74,8.66,10.16,12.50,9.58,1.37,12.49,12.33
2020.09.15 05:24,6.74,10.55,8.79,13.09,7.11,0.77,21.88,13.82
2020.09.15 05:25,8.07,8.99,7.50,13.09,9.96,4.11,13.35,13.10
2020.09.15 05:26,6.15,10.39,14.85,25.19,19.53,1.95,13.08,13.85
2020.09.15 05:27,6.15,5.96,9.38,14.26,8.08,5.67,9.04,28.13
2020.09.15 05:28,5.47,1.73,6.84,12.70,10.35,3.65,1.17,15.58
2020.09.15 05:29,18.26,1.15,8.21,11.72,15.77,2.54,27.32,13.27
2020.09.15 05:30,7.42,10.19,6.53,12.31,11.72,3.72,13.84,10.95
2020.09.15 05:31,6.84,13.08,12.69,25.39,21.88,1.73,32.05,12.67
2020.09.15 05:32,11.33,13.66,9.96,13.48,1.96,4.11,15.58,10.76
2020.09.15 05:33,6.53,9.57,7.23,15.77,30.96,2.31,7.30,11.14
